"character","sport","sheet","panel","pose","image"
"male","tennis","Tennis — groundstrokes","10","Backhand contact: ball forward, both hands attached","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","11","Backhand follow-through: racket over right shoulder","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","12","Backhand recovery: return to ready","tennis/male-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","1","Forehand ready: racket in right hand, athletic stance","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","2","Forehand unit turn: shoulders coil","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","3","Forehand backswing: racket drops behind hip","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","4","Forehand contact: ball ahead of right hip","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","5","Forehand follow-through: racket across opposite shoulder","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","6","Forehand recovery: return to ready","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","7","Two-hand backhand ready: both hands on grip","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","8","Backhand unit turn: shoulders to opposite side","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","9","Backhand backswing: racket behind left hip","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","10","Backhand contact: ball forward, both hands attached","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","11","Backhand follow-through: racket over right shoulder","tennis/female-01-groundstrokes.png"
"female","tennis","Tennis — groundstrokes","12","Backhand recovery: return to ready","tennis/female-01-groundstrokes.png"
"male","tennis","Tennis — serve and net","1","Serve setup: ball in left hand, racket in right","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","2","Serve toss: left arm extended upward","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","3","Trophy position: knees bend, racket behind head","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","4","Serve contact: reach high overhead, ball meets strings","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","5","Serve follow-through: right arm crosses body","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","6","Serve landing: lead foot lands and knees absorb","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","7","Forehand volley: compact racket in front","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","8","Backhand volley: firm wrist, compact reach","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","9","Overhead smash preparation: point toward high ball","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","10","Overhead smash contact: racket extended overhead","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","11","Drop shot: open racket face, soft touch","tennis/male-02-serve-and-net.png"
"male","tennis","Tennis — serve and net","12","Backhand slice: high-to-low racket contact","tennis/male-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","1","Serve setup: ball in left hand, racket in right","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","2","Serve toss: left arm extended upward","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","3","Trophy position: knees bend, racket behind head","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","4","Serve contact: reach high overhead, ball meets strings","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","5","Serve follow-through: right arm crosses body","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","6","Serve landing: lead foot lands and knees absorb","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","7","Forehand volley: compact racket in front","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","8","Backhand volley: firm wrist, compact reach","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","9","Overhead smash preparation: point toward high ball","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","10","Overhead smash contact: racket extended overhead","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","11","Drop shot: open racket face, soft touch","tennis/female-02-serve-and-net.png"
"female","tennis","Tennis — serve and net","12","Backhand slice: high-to-low racket contact","tennis/female-02-serve-and-net.png"
"male","tennis","Tennis — footwork and contact","1","Split step: small hop and wide landing","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","2","Shuffle left: lateral step without crossing feet","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","3","Shuffle right: lateral step without crossing feet","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","4","Crossover sprint: chase wide ball","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","5","Wide forehand lunge with racket extended","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","6","Wide backhand lunge with both hands on racket","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","7","Recover toward center with racket ready","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","8","Low half-volley: bent knees, racket near floor","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","9","Close-up: right hand wraps racket handle cleanly","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","10","Close-up: two hands stacked on backhand handle","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","11","Close-up: ball meets center of racket strings","tennis/male-03-footwork-and-contact.png"
"male","tennis","Tennis — footwork and contact","12","Point won: compact fist pump, racket in other hand","tennis/male-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","1","Split step: small hop and wide landing","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","2","Shuffle left: lateral step without crossing feet","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","3","Shuffle right: lateral step without crossing feet","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","4","Crossover sprint: chase wide ball","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","5","Wide forehand lunge with racket extended","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","6","Wide backhand lunge with both hands on racket","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","7","Recover toward center with racket ready","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","8","Low half-volley: bent knees, racket near floor","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","9","Close-up: right hand wraps racket handle cleanly","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","10","Close-up: two hands stacked on backhand handle","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","11","Close-up: ball meets center of racket strings","tennis/female-03-footwork-and-contact.png"
"female","tennis","Tennis — footwork and contact","12","Point won: compact fist pump, racket in other hand","tennis/female-03-footwork-and-contact.png"
"male","boxing","Boxing — punch mechanics","1","Orthodox guard: left foot forward, both gloves at cheeks","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","2","Jab extension: left glove forward, right protects head","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","3","Jab recovery: left glove returns to cheek","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","4","Cross extension: right hip rotates, rear heel lifts","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","5","Cross recovery: regain balanced guard","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","6","Lead hook: bent left elbow, torso turns","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","7","Lead hook recovery: guard restored","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","8","Rear hook: bent right elbow and hip rotation","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","9","Lead uppercut: slight dip then left glove rises","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","10","Rear uppercut: right hip drives upward punch","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","11","Body jab: level change through knees","boxing/male-01-punches.png"
"male","boxing","Boxing — punch mechanics","12","Return to guard: hands high, balanced feet","boxing/male-01-punches.png"
"female","boxing","Boxing — punch mechanics","1","Orthodox guard: left foot forward, both gloves at cheeks","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","2","Jab extension: left glove forward, right protects head","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","3","Jab recovery: left glove returns to cheek","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","4","Cross extension: right hip rotates, rear heel lifts","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","5","Cross recovery: regain balanced guard","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","6","Lead hook: bent left elbow, torso turns","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","7","Lead hook recovery: guard restored","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","8","Rear hook: bent right elbow and hip rotation","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","9","Lead uppercut: slight dip then left glove rises","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","10","Rear uppercut: right hip drives upward punch","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","11","Body jab: level change through knees","boxing/female-01-punches.png"
"female","boxing","Boxing — punch mechanics","12","Return to guard: hands high, balanced feet","boxing/female-01-punches.png"
"male","boxing","Boxing — defense and footwork","1","High guard: gloves cover temples, elbows in","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","2","Body block: elbow protects ribs","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","3","Parry: small lead glove deflection","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","4","Slip left: torso shifts off center line","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","5","Slip right: torso shifts opposite way","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","6","Duck: knees bend, eyes/head remain forward","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","7","Roll: low curved body movement under imagined hook","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","8","Back step: rear foot retreats then front follows","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","9","Advance: lead foot steps then rear follows","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","10","Left pivot: rotate on lead foot, maintain guard","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","11","Right lateral step: balanced stance preserved","boxing/male-02-defense-and-footwork.png"
"male","boxing","Boxing — defense and footwork","12","Southpaw guard: right foot forward, right glove leading","boxing/male-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","1","High guard: gloves cover temples, elbows in","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","2","Body block: elbow protects ribs","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","3","Parry: small lead glove deflection","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","4","Slip left: torso shifts off center line","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","5","Slip right: torso shifts opposite way","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","6","Duck: knees bend, eyes/head remain forward","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","7","Roll: low curved body movement under imagined hook","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","8","Back step: rear foot retreats then front follows","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","9","Advance: lead foot steps then rear follows","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","10","Left pivot: rotate on lead foot, maintain guard","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","11","Right lateral step: balanced stance preserved","boxing/female-02-defense-and-footwork.png"
"female","boxing","Boxing — defense and footwork","12","Southpaw guard: right foot forward, right glove leading","boxing/female-02-defense-and-footwork.png"
"male","boxing","Boxing — combinations and reactions","1","Combination 1/4: orthodox guard","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","2","Combination 2/4: left jab","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","3","Combination 3/4: right cross","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","4","Combination 4/4: left hook and balanced hips","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","5","Body-head 1/3: dip with guard up","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","6","Body-head 2/3: right body uppercut","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","7","Body-head 3/3: recover into left head hook","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","8","Close-up: mitten hand fully enclosed by padded boxing glove","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","9","Light hit reaction: torso recoils, gloves remain up","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","10","Stumble recovery: small backward step, regain guard","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","11","Round rest: gloves lowered, shoulders relaxed","boxing/male-03-combos-and-reactions.png"
"male","boxing","Boxing — combinations and reactions","12","Win: both gloves raised overhead","boxing/male-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","1","Combination 1/4: orthodox guard","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","2","Combination 2/4: left jab","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","3","Combination 3/4: right cross","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","4","Combination 4/4: left hook and balanced hips","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","5","Body-head 1/3: dip with guard up","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","6","Body-head 2/3: right body uppercut","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","7","Body-head 3/3: recover into left head hook","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","8","Close-up: mitten hand fully enclosed by padded boxing glove","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","9","Light hit reaction: torso recoils, gloves remain up","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","10","Stumble recovery: small backward step, regain guard","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","11","Round rest: gloves lowered, shoulders relaxed","boxing/female-03-combos-and-reactions.png"
"female","boxing","Boxing — combinations and reactions","12","Win: both gloves raised overhead","boxing/female-03-combos-and-reactions.png"
"male","shared","Shared — locomotion and transitions","1","Neutral relaxed standing, front view","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","2","Ready athletic stance, knees soft","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","3","Walk contact: left heel forward, right toe behind","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","4","Walk passing: weight over left leg","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","5","Walk contact: right heel forward, left toe behind","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","6","Run flight: opposite arm and knee drive","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","7","Run landing: flexed knee absorbs weight","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","8","Stop: lower center of gravity and brake","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","9","Turn left: head, shoulders, then hips rotate","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","10","Turn right: head, shoulders, then hips rotate","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","11","Jump anticipation: crouch with arms back","shared/male-01-movement.png"
"male","shared","Shared — locomotion and transitions","12","Jump landing: both feet grounded, knees absorb","shared/male-01-movement.png"
"female","shared","Shared — locomotion and transitions","1","Neutral relaxed standing, front view","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","2","Ready athletic stance, knees soft","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","3","Walk contact: left heel forward, right toe behind","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","4","Walk passing: weight over left leg","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","5","Walk contact: right heel forward, left toe behind","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","6","Run flight: opposite arm and knee drive","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","7","Run landing: flexed knee absorbs weight","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","8","Stop: lower center of gravity and brake","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","9","Turn left: head, shoulders, then hips rotate","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","10","Turn right: head, shoulders, then hips rotate","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","11","Jump anticipation: crouch with arms back","shared/female-01-movement.png"
"female","shared","Shared — locomotion and transitions","12","Jump landing: both feet grounded, knees absorb","shared/female-01-movement.png"
"male","shared","Shared — body language and reactions","1","Neutral confident idle","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","2","Attentive ready pose, slight forward lean","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","3","Focus: head inclined toward target","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","4","Surprise: head lifts, hands spread","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","5","Success: single fist pump","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","6","Big win: both arms overhead","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","7","Celebration jump: feet briefly off ground","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","8","Disappointment: shoulders slump, head lowers","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","9","Frustration: hands at hips","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","10","Recover confidence: straighten torso, lift head","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","11","Greeting: friendly one-hand wave","shared/male-02-personality.png"
"male","shared","Shared — body language and reactions","12","Sportsmanship: extend right hand for handshake","shared/male-02-personality.png"
"female","shared","Shared — body language and reactions","1","Neutral confident idle","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","2","Attentive ready pose, slight forward lean","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","3","Focus: head inclined toward target","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","4","Surprise: head lifts, hands spread","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","5","Success: single fist pump","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","6","Big win: both arms overhead","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","7","Celebration jump: feet briefly off ground","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","8","Disappointment: shoulders slump, head lowers","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","9","Frustration: hands at hips","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","10","Recover confidence: straighten torso, lift head","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","11","Greeting: friendly one-hand wave","shared/female-02-personality.png"
"female","shared","Shared — body language and reactions","12","Sportsmanship: extend right hand for handshake","shared/female-02-personality.png"
